report_dt,division_name,val,rate
2015-01,1-1,1.0,0.17
2015-01,1-2,1.0,0.17
2015-01,1-3,1.0,0.17
2015-01,1-4,1.0,0.17
2015-01,1-5,1.0,0.17
2015-01,1-6,1.0,0.17
2015-01,10-1,1.0,0.17
2015-01,10-10,1.0,0.17
2015-01,10-2,1.0,0.17
2015-01,10-3,1.0,0.17
2015-01,10-4,1.0,0.17
2015-01,10-5,1.0,0.17
2015-01,10-6,1.0,0.17
2015-01,10-7,1.0,0.17
2015-01,10-8,1.0,0.17
2015-01,10-9,1.0,0.17
2015-01,11-1,1.0,0.17
2015-01,11-2,1.0,0.17
2015-01,11-3,1.0,0.17
2015-01,11-4,1.0,0.17
2015-01,11-5,1.0,0.17
2015-01,11-6,1.0,0.17
2015-01,11-7,1.0,0.17
2015-01,11-8,1.0,0.17
2015-01,2-1,1.0,0.17
2015-01,2-2,1.0,0.17
2015-01,2-3,1.0,0.17
2015-01,2-4,1.0,0.17
2015-01,2-5,1.0,0.17
2015-01,2-6,1.0,0.17
2015-01,2-7,1.0,0.17
2015-01,2-8,1.0,0.17
2015-01,2-9,1.0,0.17
2015-01,3-1,1.0,0.17
2015-01,3-2,1.0,0.17
2015-01,3-3,1.0,0.17
2015-01,3-4,1.0,0.17
2015-01,4-2,1.0,0.17
2015-01,5-1,1.0,0.17
2015-01,5-10,1.0,0.17
2015-01,5-11,1.0,0.17
2015-01,5-12,1.0,0.17
2015-01,5-13,1.0,0.17
2015-01,5-14,1.0,0.17
2015-01,5-15,1.0,0.17
2015-01,5-2,1.0,0.17
2015-01,5-3,1.0,0.17
2015-01,5-4,1.0,0.17
2015-01,5-5,1.0,0.17
2015-01,5-6,1.0,0.17
2015-01,5-7,1.0,0.17
2015-01,5-8,1.0,0.17
2015-01,5-9,1.0,0.17
2015-01,6-1,1.0,0.17
2015-01,6-10,1.0,0.17
2015-01,6-2,1.0,0.17
2015-01,6-3,1.0,0.17
2015-01,6-4,1.0,0.17
2015-01,6-5,1.0,0.17
2015-01,6-6,1.0,0.17
2015-01,6-7,1.0,0.17
2015-01,6-8,1.0,0.17
2015-01,6-9,1.0,0.17
2015-01,7-1,1.0,0.17
2015-01,7-2,1.0,0.17
2015-01,7-3,1.0,0.17
2015-01,7-4,1.0,0.17
2015-01,7-5,1.0,0.17
2015-01,7-6,1.0,0.17
2015-01,7-7,1.0,0.17
2015-01,7-8,1.0,0.17
2015-01,8-1,1.0,0.17
2015-01,8-10,1.0,0.17
2015-01,8-11,1.0,0.17
2015-01,8-2,1.0,0.17
2015-01,8-3,1.0,0.17
2015-01,8-4,1.0,0.17
2015-01,8-5,1.0,0.17
2015-01,8-6,1.0,0.17
2015-01,8-7,1.0,0.17
2015-01,8-8,1.0,0.17
2015-01,8-9,1.0,0.17
2015-01,9-1,1.0,0.17
2015-01,9-2,1.0,0.17
2015-01,9-3,1.0,0.17
